"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.314281958e0,-3.658535182e-1,6.199079156e-1,3.271346912e-2,7.205586664e-1
1.324314958e0,-3.249541223e-1,6.386611462e-1,-4.222098738e-2,7.178202094e-1
1.334347958e0,-2.743678987e-1,4.644166529e-1,-1.193706319e-1,5.524580700e-1
1.344380958e0,-2.129292637e-1,2.750183344e-1,-1.658176780e-1,3.853173470e-1
1.354413958e0,-1.231695488e-1,1.375558227e-1,-1.538193375e-1,2.403179783e-1
1.364445958e0,-1.381797995e-2,8.532609046e-2,-1.618300229e-1,1.834678026e-1
1.374478958e0,1.085446849e-1,9.232700616e-2,-2.192464471e-1,2.614865757e-1
1.384511958e0,2.466290295e-1,1.348231137e-1,-2.650273144e-1,3.863193337e-1
1.394544958e0,3.733970821e-1,1.428655833e-1,-2.606029809e-1,4.772314632e-1
1.404577958e0,4.780301452e-1,1.045494825e-1,-2.089802325e-1,5.320866015e-1
1.414610958e0,5.602467656e-1,1.778050140e-2,-1.236584038e-1,5.740069559e-1
1.424643958e0,6.096771955e-1,-9.077408165e-2,-4.016987234e-2,6.177052981e-1
1.434675958e0,6.331889033e-1,-1.870350987e-1,1.798105054e-2,6.604798510e-1
1.444708958e0,6.470327377e-1,-2.554120421e-1,3.974428773e-2,6.967541054e-1
1.454741958e0,6.699241996e-1,-2.885329723e-1,2.622129023e-2,7.298885294e-1
1.464774958e0,7.060562372e-1,-1.267898530e-1,6.592079997e-2,7.203725625e-1
1.474807958e0,7.439112067e-1,3.240326047e-2,1.114174426e-1,7.529061703e-1
1.484840958e0,7.654630542e-1,-1.203225343e-3,1.051479653e-1,7.726520754e-1
1.494873958e0,7.398277521e-1,-1.978715509e-1,5.970697477e-2,7.681556980e-1
1.504905958e0,6.639232635e-1,-2.855204344e-1,5.433042720e-2,7.247536227e-1
1.514938958e0,5.427781940e-1,-4.117691815e-1,6.712212414e-2,6.845928762e-1
1.524971958e0,4.106986523e-1,-4.893840253e-1,7.672024518e-2,6.434719133e-1
1.535004958e0,2.750052512e-1,-4.964565933e-1,8.061858267e-2,5.732332798e-1
1.545037958e0,1.755812466e-1,-4.032028317e-1,7.996689528e-2,4.469854606e-1
